experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic8m,variance,0.05,1200,0.063,0.9904,272232,0.03,0.004
ours-cpp,synthetic2m,max,0.1,400,0.013,0.9868,147320,0.014,0.007
ours-cpp,soccerdata,boxcox0,0.0,1200,0.018,1.0,745652,0.0,0.0
ours-cpp,synthetic256m,plus,0.05,200,0.015,0.9962,1076636,0.01,0.002
ours-cpp,synthetic128m,mean,0.0,600,0.182,1.0,1059308,0.0,0.0
ours-cpp,synthetic128m,L22,0.05,600,0.053,0.997,761124,0.005,0.001
ours-cpp,stockdata,multi,0.0,800,0.012,1.0,593280,0.0,0.0
ours-cpp,synthetic32m,variance,0.01,1000,0.133,0.9962,501548,0.006,0.001
ours-cpp,synthetic4m,func1,0.1,400,0.004,1.0,106428,0.0,0.0
ours-cpp,nycdata,L2,0.1,600,0.094,0.9888,332496,0.021,0.006
ours-cpp,synthetic1m,divide,0.0,400,0.009,1.0,423496,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.01,400,0.043,0.9962,553380,0.006,0.002
ours-cpp,sensordata,variance,0.05,1000,0.124,0.9999,584152,0.0,0.0
ours-cpp,sensordata,variance,0.1,800,0.124,1.0,501188,0.0,0.0
ours-cpp,synthetic1b,max,0.1,1000,0.234,0.9932,3606412,0.006,0.003
ours-cpp,synthetic128m,mean,0.0,800,0.237,1.0,1067212,0.0,0.0
ours-cpp,synthetic4m,minus,0.0,200,0.009,1.0,457596,0.0,0.0
ours-cpp,soccerdata,minus,0.01,1200,0.041,0.9996,577940,0.001,0.0
ours-cpp,synthetic32m,L22,0.1,400,0.014,0.9855,309468,0.028,0.007
ours-cpp,synthetic64m,func1,0.01,1000,0.025,1.0,541840,0.0,0.0
ours-cpp,synthetic32m,L22,0.01,1200,0.064,0.999,551564,0.001,0.0
ours-cpp,synthetic64m,minus,0.0,600,0.048,1.0,737428,0.0,0.0
ours-cpp,synthetic1b,func1,0.05,600,0.027,1.0,3646908,0.0,0.0
ours-cpp,nycdata,minus,0.1,400,0.012,0.9802,259068,0.031,0.012
ours-cpp,nycdata,mean,0.05,200,0.049,0.9749,446064,0.05,0.021
ours-cpp,synthetic8m,L2LN,0.05,1200,0.052,0.9949,313124,0.014,0.002
ours-cpp,soccerdata,multi,0.05,1200,0.038,0.9967,416004,0.007,0.001
ours-cpp,synthetic256m,variance,0.0,800,0.264,1.0,1530492,0.0,0.0
ours-cpp,synthetic8m,L2,0.01,1000,0.061,0.994,409952,0.009,0.002
ours-cpp,synthetic4m,L22,0.1,200,0.011,0.9943,182636,0.011,0.002
ours-cpp,synthetic1m,plus,0.1,600,0.007,0.9777,98176,0.052,0.011
ours-cpp,soccerdata,variance,0.0,200,0.032,1.0,867228,0.0,0.0
ours-cpp,synthetic512m,divide,0.0,200,0.035,1.0,2518916,0.0,0.0
ours-cpp,synthetic1m,mean,0.01,400,0.018,0.9936,312448,0.008,0.002
ours-cpp,synthetic2m,multi,0.05,600,0.013,0.9964,209864,0.012,0.001
ours-cpp,synthetic512m,multi,0.1,1000,0.098,0.9774,1940268,0.049,0.011
ours-cpp,synthetic64m,variance,0.1,800,0.088,0.9874,416208,0.056,0.005
ours-cpp,synthetic128m,plus,0.05,1000,0.07,0.9787,652432,0.044,0.01
ours-cpp,synthetic1b,divide,0.0,800,0.141,1.0,4157300,0.0,0.0
ours-cpp,synthetic2m,divide,0.1,200,0.005,0.9991,122504,0.002,0.0
ours-cpp,synthetic4m,mean,0.0,1200,0.115,1.0,520028,0.0,0.0
ours-cpp,synthetic256m,plus,0.1,1200,0.061,0.9897,1057880,0.025,0.004
ours-cpp,soccerdata,minus,0.05,600,0.02,0.9905,397172,0.012,0.004
ours-cpp,synthetic2m,minus,0.01,1000,0.022,0.9925,309296,0.006,0.002
ours-cpp,synthetic1b,func1,0.05,1200,0.051,1.0,3647436,0.0,0.0
ours-cpp,sensordata,divide,0.0,1000,0.114,1.0,913900,0.0,0.0
ours-cpp,synthetic16m,func1,0.1,800,0.024,1.0,260236,0.0,0.0
ours-cpp,synthetic32m,variance,0.0,800,0.158,1.0,679924,0.0,0.0
ours-cpp,synthetic4m,plus,0.0,800,0.03,1.0,450272,0.0,0.0
ours-cpp,synthetic512m,max,0.01,200,0.07,0.9996,2337684,0.001,0.0
ours-cpp,synthetic1b,weightsum,0.01,1000,0.433,0.9937,4024724,0.009,0.002
ours-cpp,synthetic32m,mean,0.0,600,0.122,1.0,649392,0.0,0.0
ours-cpp,soccerdata,func1,0.0,200,0.009,1.0,743804,0.0,0.0
ours-cpp,synthetic2m,divide,0.0,1200,0.03,1.0,462548,0.0,0.0
ours-cpp,synthetic128m,max,0.01,600,0.088,0.9903,895216,0.01,0.005
ours-cpp,synthetic64m,L2LN,0.05,1200,0.14,0.9911,541576,0.021,0.004
ours-cpp,synthetic1m,max,0.01,1200,0.02,0.9999,342800,0.0,0.0
ours-cpp,stockdata,func1,0.1,400,0.002,1.0,176496,0.0,0.0
ours-cpp,synthetic512m,L2LN,0.0,400,0.198,1.0,2732492,0.0,0.0
ours-cpp,synthetic8m,variance,0.01,1200,0.078,0.9953,394652,0.009,0.002
ours-cpp,synthetic1m,boxcox0,0.0,400,0.003,1.0,386392,0.0,0.0
ours-cpp,synthetic1m,max,0.1,1200,0.024,0.9883,147092,0.012,0.006
ours-cpp,synthetic1b,variance,0.1,400,0.122,0.9789,3606412,0.092,0.01
ours-cpp,nycdata,divide,0.0,400,0.026,1.0,824124,0.0,0.0
ours-cpp,synthetic2m,mean,0.05,1000,0.04,0.9885,234076,0.023,0.005
ours-cpp,synthetic2m,variance,0.01,800,0.044,0.9934,352308,0.008,0.003
ours-cpp,synthetic512m,minus,0.1,1000,0.098,0.9782,1940268,0.046,0.008
ours-cpp,synthetic512m,minus,0.05,200,0.025,0.9894,2022728,0.029,0.004
ours-cpp,synthetic128m,multi,0.01,1200,0.084,0.9971,833824,0.005,0.001
ours-cpp,synthetic256m,multi,0.0,1000,0.111,1.0,1452448,0.0,0.0
ours-cpp,synthetic32m,max,0.01,800,0.072,0.9937,507032,0.006,0.003
ours-cpp,soccerdata,func1,0.1,600,0.014,1.0,244452,0.0,0.0
ours-cpp,sensordata,max,0.05,600,0.068,1.0,587848,0.0,0.0
ours-cpp,nycdata,L2LN,0.0,1000,0.734,1.0,1041816,0.0,0.0
ours-cpp,sensordata,func1,0.01,800,0.021,1.0,661340,0.0,0.0
ours-cpp,synthetic512m,L2,0.01,600,0.2,0.9942,2350648,0.007,0.002
ours-cpp,synthetic4m,max,0.05,200,0.007,0.9853,265428,0.018,0.009
ours-cpp,synthetic256m,multi,0.0,400,0.043,1.0,1440372,0.0,0.0
ours-cpp,synthetic128m,multi,0.01,800,0.057,0.9971,824656,0.006,0.001
ours-cpp,stockdata,multi,0.01,600,0.008,1.0,459628,0.0,0.0
ours-cpp,synthetic128m,L2LN,0.05,800,0.119,0.9776,774372,0.045,0.011
ours-cpp,synthetic8m,multi,0.01,200,0.006,0.996,340584,0.007,0.002
ours-cpp,stockdata,plus,0.0,800,0.011,1.0,575856,0.0,0.0
ours-cpp,synthetic1m,variance,0.01,1200,0.046,0.993,338052,0.007,0.003
ours-cpp,soccerdata,weightsum,0.1,800,0.084,0.9945,324844,0.011,0.003
ours-cpp,synthetic256m,L2,0.0,200,0.09,1.0,1559132,0.0,0.0
ours-cpp,synthetic256m,variance,0.01,400,0.092,0.9949,1300040,0.008,0.002
ours-cpp,sensordata,weightsum,0.1,200,0.028,0.9998,501188,0.001,0.0
ours-cpp,synthetic2m,L2,0.0,600,0.051,1.0,514160,0.0,0.0
ours-cpp,synthetic1m,max,0.05,400,0.006,0.9811,234092,0.021,0.01
ours-cpp,synthetic512m,divide,0.05,1200,0.156,0.9998,2072748,0.0,0.0
ours-cpp,synthetic512m,weightsum,0.0,600,0.253,1.0,2681756,0.0,0.0
ours-cpp,synthetic1b,L2,0.01,800,0.324,0.9957,3994824,0.009,0.001
ours-cpp,synthetic8m,plus,0.1,800,0.029,0.9848,170332,0.032,0.007
ours-cpp,synthetic1m,L22,0.05,400,0.007,0.9957,257408,0.007,0.002
ours-cpp,synthetic256m,variance,0.05,600,0.108,0.9882,1137980,0.036,0.005
ours-cpp,synthetic4m,minus,0.1,1000,0.016,0.9709,117464,0.059,0.011
ours-cpp,synthetic4m,boxcox0,0.1,200,0.002,1.0,106428,0.0,0.0
ours-cpp,synthetic4m,L2,0.01,600,0.034,0.9949,392956,0.006,0.002
ours-cpp,synthetic64m,multi,0.1,200,0.015,0.9709,415232,0.1,0.016
ours-cpp,synthetic128m,divide,0.01,800,0.056,0.9998,838256,0.0,0.0
ours-cpp,synthetic8m,minus,0.01,600,0.017,0.996,331100,0.008,0.002
ours-cpp,soccerdata,plus,0.0,800,0.031,1.0,750932,0.0,0.0
ours-cpp,synthetic2m,multi,0.01,800,0.018,0.9969,317204,0.006,0.001
ours-cpp,synthetic8m,L2LN,0.0,800,0.087,1.0,628892,0.0,0.0
ours-cpp,stockdata,weightsum,0.05,1200,0.053,0.9997,416860,0.0,0.0
ours-cpp,synthetic32m,L22,0.01,600,0.029,0.9986,543884,0.002,0.001
ours-cpp,synthetic32m,L2,0.0,600,0.125,1.0,708644,0.0,0.0
ours-cpp,synthetic8m,variance,0.01,800,0.059,0.9965,385720,0.005,0.001
ours-cpp,nycdata,minus,0.05,400,0.013,0.9802,419004,0.031,0.012
ours-cpp,soccerdata,divide,0.05,800,0.047,0.9681,423660,0.049,0.024
ours-cpp,synthetic128m,minus,0.01,400,0.03,0.9961,805828,0.004,0.001
ours-cpp,soccerdata,L2LN,0.05,600,0.173,0.9732,528584,0.05,0.022
ours-cpp,synthetic32m,variance,0.1,600,0.047,0.9836,309168,0.049,0.008
ours-cpp,sensordata,boxcox0,0.0,1000,0.018,1.0,821940,0.0,0.0
ours-cpp,soccerdata,boxcox0,0.05,400,0.006,1.0,385096,0.0,0.0
ours-cpp,stockdata,L22,0.1,1000,0.015,1.0,288740,0.0,0.0
ours-cpp,synthetic2m,L2,0.0,1200,0.089,1.0,528680,0.0,0.0
ours-cpp,stockdata,L2LN,0.01,400,0.039,0.9955,550792,0.007,0.002
ours-cpp,synthetic4m,L2LN,0.1,400,0.019,0.9826,186804,0.05,0.008
ours-cpp,synthetic64m,plus,0.05,400,0.024,0.9957,420276,0.01,0.002
ours-cpp,synthetic64m,L22,0.1,200,0.009,0.9788,416508,0.045,0.011
ours-cpp,nycdata,mean,0.0,600,0.183,1.0,851036,0.0,0.0
ours-cpp,synthetic128m,divide,0.1,800,0.041,0.9977,629996,0.037,0.001
ours-cpp,synthetic32m,L2LN,0.1,400,0.032,0.9874,309468,0.023,0.005
ours-cpp,nycdata,divide,0.1,400,0.013,0.9565,268044,0.079,0.034
ours-cpp,synthetic64m,L2,0.0,1000,0.261,1.0,875264,0.0,0.0
ours-cpp,synthetic8m,plus,0.0,200,0.01,1.0,455272,0.0,0.0
ours-cpp,sensordata,func1,0.01,200,0.008,1.0,661340,0.0,0.0
ours-cpp,synthetic1b,func1,0.05,1000,0.052,1.0,3646908,0.0,0.0
ours-cpp,synthetic512m,plus,0.05,1000,0.101,0.9822,2019748,0.036,0.008
ours-cpp,synthetic1m,multi,0.05,200,0.003,0.9952,198764,0.012,0.002
ours-cpp,synthetic1b,L2,0.05,600,0.123,0.99,3772464,0.033,0.004
ours-cpp,synthetic4m,boxcox0,0.01,800,0.007,1.0,308848,0.0,0.0
ours-cpp,synthetic64m,mean,0.1,1200,0.104,0.9894,416208,0.039,0.004
ours-cpp,synthetic128m,max,0.05,1000,0.132,0.9921,730464,0.007,0.004
ours-cpp,synthetic8m,L22,0.1,1000,0.041,0.9898,193940,0.017,0.004
ours-cpp,nycdata,variance,0.1,400,0.063,0.9951,309364,0.008,0.002
ours-cpp,synthetic1b,divide,0.05,1000,0.104,0.9995,3715924,0.029,0.0
ours-cpp,synthetic128m,func1,0.01,200,0.008,1.0,782028,0.0,0.0
ours-cpp,synthetic32m,variance,0.05,200,0.022,0.9898,354752,0.028,0.005
ours-cpp,synthetic512m,weightsum,0.1,600,0.116,0.9871,1955760,0.048,0.005
ours-cpp,synthetic16m,minus,0.1,400,0.013,0.9481,261636,0.088,0.025
ours-cpp,synthetic1m,L2LN,0.01,600,0.019,0.9939,376316,0.007,0.002
ours-cpp,stockdata,max,0.05,1000,0.023,1.0,381592,0.0,0.0
ours-cpp,synthetic16m,multi,0.05,400,0.015,0.9942,275744,0.013,0.002
ours-cpp,synthetic32m,multi,0.0,600,0.032,1.0,611672,0.0,0.0
ours-cpp,synthetic64m,max,0.1,1000,0.092,0.9936,416208,0.006,0.003
ours-cpp,synthetic2m,max,0.0,1200,0.043,1.0,509428,0.0,0.0
ours-cpp,soccerdata,L22,0.0,800,0.037,1.0,972332,0.0,0.0
ours-cpp,synthetic128m,func1,0.0,1200,0.036,1.0,966976,0.0,0.0
ours-cpp,synthetic4m,L2,0.1,400,0.015,0.9838,160700,0.069,0.008
ours-cpp,synthetic8m,boxcox0,0.0,200,0.003,1.0,451312,0.0,0.0
ours-cpp,synthetic4m,divide,0.1,800,0.014,0.9871,131924,0.024,0.01
ours-cpp,synthetic32m,L2,0.1,600,0.045,0.9913,309468,0.036,0.003
ours-cpp,synthetic2m,L2LN,0.0,1000,0.074,1.0,566960,0.0,0.0
ours-cpp,synthetic1b,L22,0.0,200,0.054,1.0,4336456,0.0,0.0
ours-cpp,synthetic128m,minus,0.05,1200,0.073,0.9791,667420,0.049,0.008
ours-cpp,synthetic2m,plus,0.05,800,0.017,0.9942,195748,0.02,0.002
ours-cpp,synthetic8m,func1,0.1,600,0.015,1.0,170332,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.1,400,0.011,1.0,1057880,0.0,0.0
ours-cpp,synthetic16m,max,0.05,1000,0.068,0.9913,330140,0.008,0.004
ours-cpp,synthetic8m,L22,0.0,200,0.013,1.0,609628,0.0,0.0
ours-cpp,soccerdata,variance,0.01,800,0.086,0.9997,637204,0.0,0.0
ours-cpp,stockdata,L2LN,0.01,200,0.025,0.9951,549472,0.008,0.003
ours-cpp,synthetic256m,minus,0.1,600,0.048,0.9756,1058528,0.059,0.009
ours-cpp,synthetic1b,mean,0.1,400,0.091,0.9845,3603340,0.068,0.007
ours-cpp,synthetic1b,weightsum,0.05,1000,0.346,0.9891,3801452,0.018,0.004
ours-cpp,synthetic32m,func1,0.1,600,0.011,1.0,308256,0.0,0.0
ours-cpp,synthetic512m,plus,0.05,400,0.057,0.978,2009636,0.05,0.011
ours-cpp,synthetic256m,weightsum,0.0,800,0.264,1.0,1600500,0.0,0.0
ours-cpp,synthetic512m,plus,0.0,200,0.051,1.0,2441688,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.1,800,0.177,0.9862,3637192,0.034,0.007
ours-cpp,synthetic2m,minus,0.0,1000,0.032,1.0,437536,0.0,0.0
ours-cpp,synthetic4m,L22,0.05,400,0.011,0.9946,291692,0.009,0.002
ours-cpp,soccerdata,L2LN,0.01,400,0.175,0.9937,702520,0.01,0.005
ours-cpp,stockdata,weightsum,0.1,200,0.013,0.9996,275564,0.001,0.0
ours-cpp,synthetic64m,max,0.05,400,0.05,0.991,494532,0.009,0.004
ours-cpp,nycdata,minus,0.0,400,0.02,1.0,801684,0.0,0.0
ours-cpp,synthetic128m,max,0.05,1200,0.141,0.9927,733368,0.007,0.003
ours-cpp,stockdata,divide,0.01,1000,0.019,0.9956,474412,0.007,0.002
ours-cpp,stockdata,L22,0.0,800,0.014,1.0,695864,0.0,0.0
ours-cpp,synthetic32m,minus,0.1,200,0.006,0.9643,308256,0.084,0.017
ours-cpp,stockdata,weightsum,0.05,600,0.029,0.9996,403396,0.001,0.0
ours-cpp,synthetic32m,L2LN,0.01,1200,0.126,0.9975,569876,0.004,0.001
ours-cpp,synthetic8m,weightsum,0.0,600,0.068,1.0,592468,0.0,0.0
ours-cpp,synthetic64m,plus,0.01,200,0.013,0.9977,547356,0.005,0.001
ours-cpp,synthetic1b,multi,0.1,200,0.025,0.9867,3602700,0.036,0.007
ours-cpp,synthetic64m,L22,0.01,800,0.043,0.9987,683100,0.002,0.0
ours-cpp,synthetic1b,L22,0.05,600,0.078,0.9959,3807988,0.007,0.002
ours-cpp,synthetic128m,func1,0.1,1000,0.052,1.0,629076,0.0,0.0
ours-cpp,synthetic16m,multi,0.01,200,0.008,0.998,404600,0.008,0.001
ours-cpp,synthetic1m,L22,0.0,1200,0.023,1.0,512680,0.0,0.0
ours-cpp,synthetic512m,weightsum,0.1,200,0.055,0.9827,1955760,0.085,0.009
ours-cpp,synthetic2m,divide,0.01,1000,0.019,0.9997,328292,0.001,0.0
ours-cpp,synthetic2m,L2,0.05,200,0.01,0.9884,252044,0.043,0.005
ours-cpp,synthetic16m,L2,0.05,800,0.069,0.9897,337628,0.037,0.004
ours-cpp,soccerdata,variance,0.1,1000,0.109,0.9999,290832,0.0,0.0
ours-cpp,synthetic8m,mean,0.0,1200,0.147,1.0,541860,0.0,0.0
ours-cpp,synthetic1b,weightsum,0.0,800,0.423,1.0,4315148,0.0,0.0
ours-cpp,sensordata,plus,0.05,200,0.021,0.9638,527776,0.048,0.023
ours-cpp,synthetic64m,boxcox0,0.05,800,0.015,1.0,416508,0.0,0.0
ours-cpp,synthetic64m,L2LN,0.0,600,0.133,1.0,929656,0.0,0.0
ours-cpp,synthetic8m,L2LN,0.05,1000,0.043,0.9947,309916,0.015,0.002
ours-cpp,synthetic16m,variance,0.05,1200,0.15,0.9859,327764,0.027,0.006
ours-cpp,synthetic1m,L2,0.01,200,0.009,0.9948,343328,0.006,0.002
ours-cpp,sensordata,L22,0.1,1200,0.083,0.9754,507128,0.034,0.016
ours-cpp,sensordata,weightsum,0.01,200,0.029,0.9998,757344,0.001,0.0
ours-cpp,synthetic1m,divide,0.0,600,0.012,1.0,424552,0.0,0.0
ours-cpp,stockdata,max,0.05,600,0.014,1.0,379480,0.0,0.0
ours-cpp,synthetic128m,weightsum,0.05,1000,0.153,0.9887,755148,0.046,0.005
ours-cpp,synthetic4m,mean,0.01,400,0.026,0.9931,356360,0.008,0.003
ours-cpp,synthetic32m,boxcox0,0.01,400,0.007,1.0,411040,0.0,0.0
ours-cpp,synthetic8m,mean,0.05,200,0.015,0.988,248132,0.026,0.006
ours-cpp,synthetic32m,multi,0.0,800,0.046,1.0,614840,0.0,0.0
ours-cpp,synthetic4m,L22,0.01,1000,0.023,0.9973,420320,0.004,0.001
ours-cpp,nycdata,L22,0.05,1000,0.03,0.9887,533428,0.016,0.006
ours-cpp,soccerdata,L2LN,0.1,1000,0.233,0.9555,375300,0.1,0.04
ours-cpp,stockdata,multi,0.0,1000,0.014,1.0,596448,0.0,0.0
ours-cpp,synthetic1b,max,0.01,1200,0.293,0.9938,3986092,0.005,0.003
ours-cpp,synthetic256m,variance,0.05,400,0.09,0.9925,1137980,0.017,0.003
ours-cpp,synthetic64m,mean,0.01,1200,0.159,0.994,626732,0.008,0.002
ours-cpp,synthetic512m,L22,0.05,600,0.059,0.983,2162984,0.04,0.008
ours-cpp,synthetic32m,boxcox0,0.1,1200,0.018,1.0,308256,0.0,0.0
ours-cpp,soccerdata,multi,0.05,400,0.015,0.9938,404948,0.014,0.003
ours-cpp,synthetic1m,minus,0.05,800,0.011,0.9911,192904,0.011,0.003
ours-cpp,sensordata,L22,0.1,400,0.03,0.9656,503016,0.053,0.025
ours-cpp,nycdata,L2,0.0,600,0.121,1.0,911960,0.0,0.0
ours-cpp,synthetic8m,plus,0.05,200,0.019,0.9962,214664,0.008,0.002
ours-cpp,synthetic256m,boxcox0,0.05,1000,0.03,1.0,1074412,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.0,1000,0.514,1.0,4378160,0.0,0.0
ours-cpp,synthetic32m,boxcox0,0.1,1000,0.016,1.0,308256,0.0,0.0
ours-cpp,synthetic256m,L22,0.1,1000,0.063,0.9857,1060772,0.031,0.006
ours-cpp,synthetic1m,L22,0.05,200,0.004,0.9947,257408,0.01,0.002
ours-cpp,synthetic16m,multi,0.0,1000,0.045,1.0,571896,0.0,0.0
ours-cpp,synthetic512m,mean,0.05,600,0.218,0.9883,2080624,0.023,0.005
ours-cpp,synthetic1m,func1,0.0,800,0.006,1.0,386212,0.0,0.0
ours-cpp,nycdata,variance,0.1,200,0.036,0.9945,309364,0.009,0.003
ours-cpp,synthetic128m,weightsum,0.0,200,0.066,1.0,1154108,0.0,0.0
ours-cpp,synthetic8m,boxcox0,0.0,1000,0.013,1.0,453424,0.0,0.0
ours-cpp,synthetic128m,minus,0.1,600,0.032,0.9638,629996,0.063,0.015
ours-cpp,synthetic512m,boxcox0,0.01,1000,0.051,1.0,2196540,0.0,0.0
ours-cpp,synthetic16m,weightsum,0.0,400,0.062,1.0,678300,0.0,0.0
ours-cpp,nycdata,mean,0.1,1000,0.125,0.9705,301456,0.069,0.017
ours-cpp,synthetic2m,minus,0.1,200,0.005,0.9844,110096,0.025,0.006
ours-cpp,synthetic8m,L22,0.01,600,0.02,0.9988,429724,0.002,0.0
ours-cpp,synthetic8m,L2LN,0.05,200,0.01,0.9903,301204,0.031,0.004
ours-cpp,synthetic1m,mean,0.01,1200,0.039,0.9935,326964,0.008,0.002
ours-cpp,synthetic64m,L2,0.1,1000,0.103,0.9859,416208,0.03,0.006
ours-cpp,soccerdata,func1,0.1,400,0.01,1.0,244452,0.0,0.0
ours-cpp,synthetic1m,L22,0.05,1200,0.012,0.9807,260492,0.037,0.009
ours-cpp,stockdata,plus,0.01,600,0.009,1.0,444052,0.0,0.0
ours-cpp,synthetic512m,max,0.05,800,0.195,0.9914,2120780,0.009,0.004
ours-cpp,synthetic4m,max,0.05,600,0.019,0.9897,265428,0.01,0.005
ours-cpp,nycdata,func1,0.1,800,0.015,1.0,255168,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.1,400,0.012,1.0,260236,0.0,0.0
ours-cpp,synthetic256m,minus,0.01,1200,0.134,0.9911,1240384,0.008,0.002
ours-cpp,nycdata,weightsum,0.05,1000,0.148,0.9901,524988,0.013,0.005
ours-cpp,soccerdata,divide,0.05,1200,0.061,0.9697,432372,0.047,0.022
ours-cpp,nycdata,mean,0.01,1000,0.219,0.9908,646892,0.01,0.005
ours-cpp,synthetic2m,boxcox0,0.05,1000,0.008,1.0,189516,0.0,0.0
ours-cpp,synthetic256m,multi,0.01,200,0.023,0.9962,1241148,0.007,0.002
ours-cpp,synthetic32m,L2LN,0.05,200,0.019,0.9841,397216,0.032,0.007
ours-cpp,synthetic512m,variance,0.0,200,0.108,1.0,2594800,0.0,0.0
ours-cpp,synthetic512m,minus,0.01,1000,0.155,0.9973,2236508,0.002,0.001
ours-cpp,synthetic4m,plus,0.01,800,0.02,0.9953,318612,0.006,0.002
ours-cpp,synthetic1b,multi,0.01,1200,0.172,0.9969,3904016,0.005,0.001
ours-cpp,synthetic128m,multi,0.01,400,0.029,0.998,820448,0.003,0.001
ours-cpp,sensordata,func1,0.05,400,0.012,1.0,527776,0.0,0.0
ours-cpp,synthetic4m,boxcox0,0.0,1000,0.012,1.0,442564,0.0,0.0
ours-cpp,synthetic256m,multi,0.05,1000,0.078,0.9871,1106668,0.036,0.006
ours-cpp,synthetic512m,boxcox0,0.05,1200,0.045,1.0,2006772,0.0,0.0
ours-cpp,synthetic4m,func1,0.1,600,0.006,1.0,106428,0.0,0.0
ours-cpp,synthetic256m,max,0.0,600,0.113,1.0,1549268,0.0,0.0
ours-cpp,synthetic2m,func1,0.05,400,0.004,1.0,186612,0.0,0.0
ours-cpp,synthetic1m,divide,0.0,200,0.005,1.0,422968,0.0,0.0
ours-cpp,nycdata,minus,0.01,400,0.015,0.9966,597868,0.005,0.002
ours-cpp,synthetic16m,weightsum,0.01,1200,0.107,0.9956,500648,0.006,0.002
ours-cpp,synthetic512m,L2LN,0.01,800,0.271,0.997,2420792,0.008,0.001
ours-cpp,synthetic128m,mean,0.05,600,0.149,0.9846,697528,0.038,0.007
ours-cpp,nycdata,divide,0.05,1200,0.043,0.9715,443760,0.043,0.019
ours-cpp,synthetic1b,L22,0.1,200,0.031,0.9934,3621736,0.012,0.003
ours-cpp,synthetic16m,L2,0.01,600,0.058,0.9951,474808,0.007,0.002
ours-cpp,sensordata,divide,0.01,400,0.021,0.9962,709372,0.005,0.002
ours-cpp,synthetic64m,L2,0.0,600,0.15,1.0,862748,0.0,0.0
ours-cpp,synthetic64m,max,0.0,1000,0.157,1.0,853160,0.0,0.0
ours-cpp,synthetic8m,minus,0.05,800,0.025,0.9698,225752,0.048,0.013
ours-cpp,synthetic16m,multi,0.1,1200,0.039,0.9666,261636,0.068,0.017
ours-cpp,synthetic8m,variance,0.05,400,0.026,0.9854,260540,0.05,0.007
ours-cpp,synthetic16m,plus,0.05,400,0.016,0.992,268724,0.015,0.003
ours-cpp,synthetic1m,weightsum,0.01,800,0.024,0.9947,359424,0.008,0.002
ours-cpp,synthetic8m,variance,0.05,800,0.068,0.9891,266096,0.035,0.005
ours-cpp,stockdata,multi,0.1,400,0.005,1.0,198760,0.0,0.0
ours-cpp,synthetic128m,func1,0.01,1200,0.029,1.0,782028,0.0,0.0
ours-cpp,synthetic1m,weightsum,0.0,400,0.023,1.0,492092,0.0,0.0
ours-cpp,synthetic512m,mean,0.1,200,0.099,0.9786,1941920,0.099,0.011
ours-cpp,synthetic64m,L2,0.0,1200,0.296,1.0,884684,0.0,0.0
ours-cpp,soccerdata,L2,0.1,1000,0.098,0.9977,314548,0.007,0.001
ours-cpp,sensordata,divide,0.01,1200,0.064,0.9969,721544,0.004,0.002
ours-cpp,synthetic1m,L2LN,0.0,800,0.043,1.0,522444,0.0,0.0
ours-cpp,synthetic1b,divide,0.05,600,0.059,0.9995,3709324,0.026,0.0
ours-cpp,nycdata,divide,0.05,400,0.013,0.9705,431932,0.045,0.02
ours-cpp,nycdata,func1,0.05,400,0.011,1.0,413988,0.0,0.0
ours-cpp,synthetic2m,variance,0.1,200,0.012,0.9813,139928,0.032,0.01
ours-cpp,soccerdata,L2,0.0,1200,0.276,1.0,939404,0.0,0.0
ours-cpp,synthetic16m,L22,0.05,1200,0.048,0.9975,360808,0.004,0.001
ours-cpp,sensordata,mean,0.01,800,0.104,0.9999,727576,0.001,0.0
ours-cpp,synthetic4m,mean,0.01,200,0.015,0.9929,355568,0.009,0.003
ours-cpp,synthetic16m,L22,0.0,1200,0.056,1.0,707696,0.0,0.0
ours-cpp,stockdata,mean,0.1,600,0.024,0.9988,228064,0.002,0.0
ours-cpp,synthetic128m,max,0.1,1200,0.325,0.9927,636344,0.007,0.003
ours-cpp,nycdata,L2,0.0,200,0.059,1.0,908076,0.0,0.0
ours-cpp,synthetic2m,mean,0.01,200,0.014,0.9939,331196,0.01,0.002
ours-cpp,synthetic256m,mean,0.01,1000,0.217,0.9951,1291732,0.01,0.002
ours-cpp,synthetic1m,multi,0.1,600,0.008,0.9812,111512,0.041,0.009
ours-cpp,synthetic1b,L2,0.0,800,0.415,1.0,4283776,0.0,0.0
ours-cpp,sensordata,boxcox0,0.0,600,0.013,1.0,821940,0.0,0.0
ours-cpp,synthetic2m,L2,0.01,1200,0.056,0.9949,379920,0.006,0.002
ours-cpp,synthetic4m,L22,0.0,600,0.022,1.0,582804,0.0,0.0
ours-cpp,nycdata,plus,0.1,1000,0.026,0.9726,259068,0.053,0.016
ours-cpp,synthetic4m,L2LN,0.05,200,0.012,0.9883,295652,0.024,0.006
ours-cpp,synthetic1b,boxcox0,0.1,1000,0.049,1.0,3598040,0.0,0.0
ours-cpp,synthetic2m,weightsum,0.05,800,0.033,0.9921,264708,0.019,0.003
