experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic128m,minus,0.1,200,0.014,0.9818,629996,0.021,0.006
ours-cpp,synthetic2m,plus,0.1,1000,0.016,0.9784,108776,0.049,0.01
ours-cpp,synthetic16m,weightsum,0.1,800,0.048,0.9887,268468,0.034,0.005
ours-cpp,synthetic16m,L2LN,0.1,600,0.037,0.9768,268468,0.037,0.01
ours-cpp,synthetic8m,weightsum,0.01,800,0.066,0.9948,420404,0.006,0.002
ours-cpp,nycdata,plus,0.0,1200,0.054,1.0,801156,0.0,0.0
ours-cpp,sensordata,divide,0.05,800,0.044,0.9963,558736,0.005,0.002
ours-cpp,synthetic1b,mean,0.0,200,0.175,1.0,4172052,0.0,0.0
ours-cpp,synthetic512m,variance,0.0,800,0.415,1.0,2605240,0.0,0.0
ours-cpp,synthetic1m,weightsum,0.1,800,0.031,0.9836,158384,0.057,0.007
ours-cpp,synthetic8m,minus,0.05,400,0.016,0.9953,223376,0.009,0.002
ours-cpp,synthetic512m,minus,0.05,800,0.118,0.9838,2030756,0.013,0.004
ours-cpp,synthetic1m,plus,0.05,200,0.003,0.9914,184056,0.02,0.004
ours-cpp,stockdata,variance,0.1,1200,0.052,1.0,252880,0.0,0.0
ours-cpp,synthetic4m,boxcox0,0.0,800,0.01,1.0,441244,0.0,0.0
ours-cpp,synthetic4m,variance,0.01,800,0.048,0.9953,378600,0.008,0.002
ours-cpp,synthetic16m,plus,0.01,600,0.024,0.9969,382992,0.005,0.001
ours-cpp,synthetic64m,L22,0.01,1200,0.063,0.999,688888,0.002,0.0
ours-cpp,synthetic128m,mean,0.0,1000,0.308,1.0,1077468,0.0,0.0
ours-cpp,nycdata,max,0.0,200,0.043,1.0,898500,0.0,0.0
ours-cpp,synthetic16m,minus,0.05,400,0.015,0.9866,272848,0.019,0.004
ours-cpp,synthetic8m,divide,0.0,800,0.029,1.0,502964,0.0,0.0
ours-cpp,synthetic32m,func1,0.01,1000,0.02,1.0,410776,0.0,0.0
ours-cpp,stockdata,boxcox0,0.1,800,0.004,1.0,176496,0.0,0.0
