table,function,metric,ssim,estimateerrorbound,pixerror
synthetic1b,variance,ec,0.9867,0.019,0.006
synthetic1b,weightsum,ec,0.981,0.021,0.009
synthetic1m,boxcox0,ec,1.0,0.0,0.0
synthetic1m,divide,ec,0.9711,0.043,0.026
synthetic1m,func1,ec,1.0,0.0,0.0
synthetic1m,L2,ec,0.9849,0.025,0.007
synthetic1m,L22,ec,0.9926,0.006,0.003
synthetic1m,L2LN,ec,0.9663,0.047,0.023
synthetic1m,max,ec,0.9746,0.016,0.016
synthetic1m,mean,ec,0.9794,0.031,0.01
synthetic1m,minus,ec,0.9832,0.013,0.006
synthetic1m,multi,ec,0.9616,0.041,0.025
synthetic1m,plus,ec,0.9897,0.011,0.005
synthetic1m,variance,ec,0.9596,0.046,0.021
synthetic1m,weightsum,ec,0.9873,0.018,0.006
synthetic256m,boxcox0,ec,1.0,0.0,0.0
synthetic256m,divide,ec,0.9928,0.02,0.009
synthetic256m,func1,ec,1.0,0.0,0.0
synthetic256m,L2,ec,0.9775,0.04,0.015
synthetic256m,L22,ec,0.9742,0.039,0.016
synthetic256m,L2LN,ec,0.9775,0.025,0.016
synthetic256m,max,ec,0.9887,0.007,0.007
synthetic256m,mean,ec,0.9758,0.047,0.017
synthetic256m,minus,ec,0.9885,0.011,0.005
synthetic256m,multi,ec,0.9687,0.043,0.02
synthetic256m,plus,ec,0.974,0.036,0.017
synthetic256m,variance,ec,0.9735,0.036,0.016
synthetic256m,weightsum,ec,0.9697,0.046,0.02
synthetic2m,boxcox0,ec,1.0,0.0,0.0
synthetic2m,divide,ec,0.9749,0.038,0.023
synthetic2m,func1,ec,1.0,0.0,0.0
synthetic2m,L2,ec,0.9877,0.017,0.005
synthetic2m,L22,ec,0.9821,0.018,0.008
synthetic2m,L2LN,ec,0.9723,0.042,0.02
synthetic2m,max,ec,0.9828,0.011,0.01
synthetic2m,mean,ec,0.9786,0.029,0.01
synthetic2m,minus,ec,0.9794,0.02,0.007
