method,data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.0,L2LN,450,158235950,658235949,34,0.208,5409368,0.0,130766,1.0
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.0,L2LN,400,158235950,658235949,34,0.181,5409368,0.0,118021,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,mean,400,158235950,658235949,47,0.205,5409368,0.0,170859,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,plus,400,158235950,658235949,18,0.065,5409368,0.0,89321,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,max,400,158235950,658235949,3,0.1,5409368,0.0,31164,1.0
ours-cpp-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0.0,max,400,1,999999999,3,0.139,5409368,0.0,31861,1.0
ours-cpp-16,synthetic1b5v,interaction-resizeup,1I2I3I4I5,0.0,max,450,1,999999999,4,0.138,5409368,0.0,36361,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,L2,450,1,999999999,24,0.212,5409368,0.0,145886,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.0,boxcox0,450,1,999999999,0,0.027,5409368,0.0,20713,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,4,0.0,boxcox0,450,1,999999999,0,0.026,5409368,0.0,20713,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,5,0.0,boxcox0,450,1,999999999,0,0.026,5409368,0.0,20713,1.0
