experiment,table,function,errorbound,width,time,sqltime,ssim,memory(GB)
OM3,synthetic128m,devide,0,1200,0.626,0.205,0.9984,0.5862045288085938
OM3,synthetic128m,devide,0,200,0.31,0.034,0.9959,0.5818901062011719
OM3,synthetic128m,devide,0,400,0.365,0.07,0.9973,0.5821380615234375
OM3,synthetic128m,devide,0,600,0.458,0.129,0.998,0.5163421630859375
OM3,synthetic128m,devide,0,800,0.517,0.182,0.9984,0.5839920043945312
OM3,synthetic128m,func1,0,1000,0.394,0.206,1.0,0.4585227966308594
OM3,synthetic128m,func1,0,1200,0.436,0.225,1.0,0.4589385986328125
OM3,synthetic128m,func1,0,200,0.238,0.117,1.0,0.4570121765136719
OM3,synthetic128m,func1,0,400,0.256,0.095,1.0,0.4571342468261719
OM3,synthetic128m,func1,0,600,0.299,0.12,1.0,0.3900718688964844
OM3,synthetic128m,func1,0,800,0.345,0.162,1.0,0.4578971862792969
OM3,synthetic128m,L2,0,1000,1.184,0.186,0.9691,0.9595565795898438
OM3,synthetic128m,L2,0,1200,1.233,0.214,0.9716,0.9630508422851562
OM3,synthetic128m,L2,0,200,0.714,0.044,0.9442,0.9567756652832031
OM3,synthetic128m,L2,0,400,0.855,0.08,0.9556,0.9577713012695312
OM3,synthetic128m,L2,0,600,0.942,0.133,0.962,0.8918685913085938
OM3,synthetic128m,L2,0,800,1.06,0.16,0.9658,0.9619560241699219
OM3,synthetic128m,L22,0,1000,0.59,0.212,0.891,0.5850257873535156
OM3,synthetic128m,L22,0,1200,0.649,0.245,0.8893,0.5862045288085938
OM3,synthetic128m,L22,0,200,0.358,0.036,0.876,0.5818901062011719
OM3,synthetic128m,L22,0,400,0.365,0.07,0.8811,0.5821380615234375
OM3,synthetic128m,L22,0,600,0.461,0.131,0.8857,0.5164451599121094
OM3,synthetic128m,L22,0,800,0.518,0.143,0.8862,0.5837745666503906
OM3,synthetic128m,L2LN,0,1000,1.19,0.194,0.9693,0.9595565795898438
OM3,synthetic128m,L2LN,0,1200,1.242,0.251,0.9723,0.9615440368652344
OM3,synthetic128m,L2LN,0,200,0.667,0.041,0.9532,0.9567756652832031
OM3,synthetic128m,L2LN,0,400,0.834,0.08,0.9643,0.9577713012695312
OM3,synthetic128m,L2LN,0,600,0.931,0.139,0.9674,0.8916549682617188
OM3,synthetic128m,L2LN,0,800,1.079,0.163,0.9691,0.9621734619140625
OM3,synthetic128m,max,0,1000,1.168,0.176,0.9993,0.9595565795898438
OM3,synthetic128m,max,0,1200,1.252,0.302,0.9994,0.9630508422851562
OM3,synthetic128m,max,0,200,0.726,0.078,0.9976,0.9568977355957031
OM3,synthetic128m,max,0,400,0.828,0.081,0.9985,0.9577713012695312
OM3,synthetic128m,max,0,600,0.932,0.135,0.999,0.8916511535644531
OM3,synthetic128m,max,0,800,1.051,0.148,0.9992,0.9578437805175781
OM3,synthetic128m,mean,0,1000,1.158,0.182,0.9579,0.9595565795898438
OM3,synthetic128m,mean,0,1200,1.223,0.217,0.9603,0.9630508422851562
