method,data,errorbound,function,width,iterations,time(s),error,nodecount,memory(GB)
our-cpp,soccerdata,0.0,multi,600,7,0.032,0.0,15168,0.2574005126953125
our-cpp,soccerdata,0.0,multi,800,8,0.042,0.0,19303,0.2574005126953125
our-cpp,soccerdata,0.0,multi,1000,10,0.053,0.0,24501,0.2574005126953125
our-cpp,soccerdata,0.0,multi,1200,8,0.059,0.0,27729,0.2574005126953125
our-cpp,soccerdata,0.0,devide,200,193,0.048,0.0,18949,0.2574005126953125
our-cpp,soccerdata,0.0,devide,400,187,0.079,0.0,27700,0.2574005126953125
our-cpp,soccerdata,0.0,devide,600,239,0.127,0.0,35938,0.2574005126953125
our-cpp,soccerdata,0.0,devide,800,177,0.14,0.0,45049,0.2622184753417969
our-cpp,soccerdata,0.0,devide,1000,194,0.173,0.0,50988,0.2687644958496094
our-cpp,soccerdata,0.0,devide,1200,130,0.165,0.0,57229,0.2743034362792969
our-cpp,soccerdata,0.0,mean,200,151,0.177,0.0,85488,0.2868537902832031
our-cpp,soccerdata,0.0,mean,400,148,0.183,0.0,124112,0.28818511962890625
our-cpp,soccerdata,0.0,mean,600,137,0.234,0.0,152994,0.2921562194824219
our-cpp,soccerdata,0.0,mean,800,135,0.285,0.0,177487,0.2971611022949219
our-cpp,soccerdata,0.0,mean,1000,132,0.351,0.0,204001,0.3024482727050781
our-cpp,soccerdata,0.0,mean,1200,115,0.365,0.0,224934,0.3079872131347656
our-cpp,soccerdata,0.0,variance,200,3,0.038,0.0,19913,0.3084907531738281
our-cpp,soccerdata,0.0,variance,400,3,0.063,0.0,35310,0.3084907531738281
our-cpp,soccerdata,0.0,variance,600,3,0.093,0.0,52060,0.3084907531738281
our-cpp,soccerdata,0.0,variance,800,3,0.123,0.0,66811,0.3084907531738281
our-cpp,soccerdata,0.0,variance,1000,3,0.133,0.0,81076,0.3084907531738281
our-cpp,soccerdata,0.0,variance,1200,3,0.157,0.0,94781,0.3094978332519531
our-cpp,soccerdata,0.0,max,200,85,0.07,0.0,63174,0.3100013732910156
our-cpp,soccerdata,0.0,max,400,58,0.099,0.0,81877,0.3100013732910156
our-cpp,soccerdata,0.0,max,600,45,0.141,0.0,98433,0.3100013732910156
our-cpp,soccerdata,0.0,max,800,64,0.181,0.0,125950,0.3100013732910156
our-cpp,soccerdata,0.0,max,1000,82,0.209,0.0,141090,0.3112602233886719
our-cpp,soccerdata,0.0,max,1200,37,0.206,0.0,146206,0.3140296936035156
our-cpp,soccerdata,0.0,L2,200,152,0.095,0.0,82505,0.3142814636230469
our-cpp,soccerdata,0.0,L2,400,150,0.159,0.0,114794,0.3142814636230469
our-cpp,soccerdata,0.0,L2,600,124,0.208,0.0,139683,0.3172340393066406
our-cpp,soccerdata,0.0,L2,800,106,0.312,0.0,162737,0.3212738037109375
our-cpp,soccerdata,0.0,L2,1000,113,0.319,0.0,181361,0.32619476318359375
our-cpp,soccerdata,0.0,L2,1200,91,0.33,0.0,199060,0.3309478759765625
our-cpp,soccerdata,0.0,weightsum,200,83,0.083,0.0,65232,0.33119964599609375
our-cpp,soccerdata,0.0,weightsum,400,88,0.139,0.0,95669,0.33119964599609375
our-cpp,soccerdata,0.0,weightsum,600,102,0.191,0.0,121850,0.33119964599609375
our-cpp,soccerdata,0.0,weightsum,800,87,0.231,0.0,142082,0.3339691162109375
our-cpp,soccerdata,0.0,weightsum,1000,80,0.234,0.0,162669,0.33774566650390625
our-cpp,soccerdata,0.0,weightsum,1200,85,0.322,0.0,181025,0.34227752685546875
our-cpp,soccerdata,0.0,L22,200,9,0.02,0.0,5478,0.34278106689453125
our-cpp,soccerdata,0.0,L22,400,5,0.027,0.0,8566,0.34278106689453125
our-cpp,soccerdata,0.0,L22,600,5,0.036,0.0,12202,0.34278106689453125
our-cpp,soccerdata,0.0,L22,800,5,0.049,0.0,15612,0.34278106689453125
our-cpp,soccerdata,0.0,L22,1000,6,0.062,0.0,18827,0.34278106689453125
our-cpp,soccerdata,0.0,L22,1200,5,0.066,0.0,21876,0.34278106689453125
our-cpp,soccerdata,0.0,L2LN,200,476,0.231,0.0,135579,0.34278106689453125
our-cpp,soccerdata,0.0,L2LN,400,312,0.295,0.0,182007,0.3440361022949219
our-cpp,soccerdata,0.0,L2LN,600,232,0.345,0.0,234963,0.34990692138671875
our-cpp,soccerdata,0.0,L2LN,800,202,0.414,0.0,276407,0.35759735107421875
our-cpp,soccerdata,0.0,L2LN,1000,172,0.46,0.0,306518,0.3660316467285156
our-cpp,soccerdata,0.0,L2LN,1200,156,0.512,0.0,337538,0.3753471374511719
our-cpp,sensordata,0.1,func1,200,0,0.023,0.0,1103,0.4495391845703125
our-cpp,sensordata,0.1,func1,400,0,0.025,0.0,2087,0.4495391845703125
our-cpp,sensordata,0.1,func1,600,0,0.031,0.0,3027,0.4495391845703125
our-cpp,sensordata,0.1,func1,800,0,0.033,0.0,3943,0.4495391845703125
