method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic256m,boxcox0,12000,1.558,5.321277618408203
DUCK-F-AM4,synthetic256m,devide,12000,1.59,3.04779052734375
DUCK-F-AM4,synthetic256m,func1,12000,1.782,4.364418029785156
DUCK-F-AM4,synthetic256m,L22,12000,1.867,2.155071258544922
DUCK-F-AM4,synthetic256m,L2LN,12000,3.225,9.4522705078125
DUCK-F-AM4,synthetic256m,L2,12000,2.869,8.735557556152344
DUCK-F-AM4,synthetic256m,max,12000,1.999,7.211223602294922
DUCK-F-AM4,synthetic256m,mean,12000,1.708,5.377166748046875
DUCK-F-AM4,synthetic256m,minus,12000,1.52,5.436592102050781
DUCK-F-AM4,synthetic256m,multi,12000,1.556,3.010204315185547
DUCK-F-AM4,synthetic256m,plus,12000,1.57,5.319404602050781
DUCK-F-AM4,synthetic256m,variance,12000,3.133,9.331684112548828
DUCK-F-AM4,synthetic256m,weightsum,12000,1.725,5.575004577636719
DUCK-F-AM4,synthetic2m,boxcox0,12000,0.062,0.4806060791015625
DUCK-F-AM4,synthetic2m,devide,12000,0.047,0.773956298828125
DUCK-F-AM4,synthetic2m,func1,12000,0.081,0.3403587341308594
DUCK-F-AM4,synthetic2m,L22,12000,0.065,1.211761474609375
DUCK-F-AM4,synthetic2m,L2LN,12000,0.084,1.071746826171875
DUCK-F-AM4,synthetic2m,L2,12000,0.073,1.1900253295898438
DUCK-F-AM4,synthetic2m,max,12000,0.054,0.9840240478515624
DUCK-F-AM4,synthetic2m,mean,12000,0.051,0.8272056579589844
DUCK-F-AM4,synthetic2m,minus,12000,0.047,0.6763229370117188
DUCK-F-AM4,synthetic2m,multi,12000,0.061,0.7564620971679688
DUCK-F-AM4,synthetic2m,plus,12000,0.065,0.5649261474609375
DUCK-F-AM4,synthetic2m,variance,12000,0.093,0.9388389587402344
DUCK-F-AM4,synthetic2m,weightsum,12000,0.065,1.002471923828125
DUCK-F-AM4,synthetic32m,boxcox0,12000,0.288,0.9504623413085938
DUCK-F-AM4,synthetic32m,devide,12000,0.268,1.2266082763671875
DUCK-F-AM4,synthetic32m,func1,12000,0.296,0.75830078125
DUCK-F-AM4,synthetic32m,L22,12000,0.358,1.6753196716308594
DUCK-F-AM4,synthetic32m,L2LN,12000,0.655,1.988922119140625
DUCK-F-AM4,synthetic32m,L2,12000,0.517,1.9247512817382808
DUCK-F-AM4,synthetic32m,max,12000,0.383,1.7123489379882812
DUCK-F-AM4,synthetic32m,mean,12000,0.334,1.749736785888672
DUCK-F-AM4,synthetic32m,minus,12000,0.257,1.1563339233398438
DUCK-F-AM4,synthetic32m,multi,12000,0.259,1.3480949401855469
DUCK-F-AM4,synthetic32m,plus,12000,0.253,1.0422515869140625
DUCK-F-AM4,synthetic32m,variance,12000,0.638,1.914165496826172
DUCK-F-AM4,synthetic32m,weightsum,12000,0.339,2.15966796875
DUCK-F-AM4,synthetic4m,boxcox0,12000,0.079,0.5238494873046875
DUCK-F-AM4,synthetic4m,devide,12000,0.067,0.8297462463378906
DUCK-F-AM4,synthetic4m,func1,12000,0.095,0.3592567443847656
DUCK-F-AM4,synthetic4m,L22,12000,0.076,1.2262420654296875
DUCK-F-AM4,synthetic4m,L2LN,12000,0.119,1.1213150024414062
DUCK-F-AM4,synthetic4m,L2,12000,0.1,1.2527313232421875
DUCK-F-AM4,synthetic4m,max,12000,0.084,1.030170440673828
DUCK-F-AM4,synthetic4m,mean,12000,0.087,0.8549690246582031
DUCK-F-AM4,synthetic4m,minus,12000,0.065,0.7044944763183594
DUCK-F-AM4,synthetic4m,multi,12000,0.066,0.7659912109375
DUCK-F-AM4,synthetic4m,plus,12000,0.077,0.5905647277832031
DUCK-F-AM4,synthetic4m,variance,12000,0.123,0.9944534301757812
DUCK-F-AM4,synthetic4m,weightsum,12000,0.08,1.0122947692871094
DUCK-F-AM4,synthetic512m5v,boxcox0,12000,3.696,12.27960968017578
DUCK-F-AM4,synthetic512m5v,devide,12000,3.573,20.133445739746094
DUCK-F-AM4,synthetic512m5v,func1,12000,3.691,12.15640640258789
DUCK-F-AM4,synthetic512m5v,L22,12000,4.419,20.420692443847656
DUCK-F-AM4,synthetic512m5v,L2LN,12000,8.625,24.95096969604492
DUCK-F-AM4,synthetic512m5v,L2,12000,6.069,24.92728042602539
DUCK-F-AM4,synthetic512m5v,max,12000,4.519,9.897960662841797
DUCK-F-AM4,synthetic512m5v,mean,12000,4.095,24.71002960205078
DUCK-F-AM4,synthetic512m5v,minus,12000,3.339,11.504505157470703
DUCK-F-AM4,synthetic512m5v,multi,12000,3.581,11.564910888671877
DUCK-F-AM4,synthetic512m5v,plus,12000,3.473,15.051910400390623
DUCK-F-AM4,synthetic512m5v,variance,12000,7.597,25.50403213500977
DUCK-F-AM4,synthetic512m5v,weightsum,12000,4.179,24.918380737304688
